"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"快","爽やかで心地よく、周囲を明るくする力","A refreshing and pleasant force that brightens those around.","Una fuerza fresca y agradable que alegra a quienes la rodean.","Une force rafraîchissante et agréable qui égaye ceux qui l’entourent.","Eine erfrischende, angenehme Kraft, die die Menschen um sich aufheitert.","Una forza fresca e piacevole che rallegra chi le sta accanto.","Sariwa at kaaya-ayang enerhiya na nagpapasaya sa mga nasa paligid.","Uma força revigorante e agradável que alegra quem está ao redor.","Çevresindekileri neşelendiren ferahlatıcı ve hoş bir güç.","قوة منعشة ولطيفة تُبهِج من حولها.","En uppfriskande och behaglig kraft som gör dem omkring gladare.","Een verfrissende en aangename kracht die de mensen om zich heen opvrolijkt.","Odświeżająca i przyjemna siła, która rozwesela otoczenie.","En forfriskende og behagelig kraft som gjør dem rundt seg mer oppløftede.","Frissítő, kellemes erő, amely felvidítja a körülötte lévőket.","כוח רענן ונעים המשמח את הסובבים.","Освежающая и приятная сила, которая делает окружающих ярче.","Gaivinanti ir maloni jėga, praskaidrinanti aplinkinius."
"得","努力の果てに成果を得て、人生を豊かにする力","The power to gain results through effort, enriching life.","El poder de obtener resultados mediante el esfuerzo y enriquecer la vida.","Le pouvoir d’obtenir des résultats par l’effort et d’enrichir la vie.","Die Kraft, durch Einsatz Ergebnisse zu erzielen und das Leben zu bereichern.","Il potere di ottenere risultati attraverso l’impegno e arricchire la vita.","Kapangyarihang nakakamit ang bunga sa pamamagitan ng pagsisikap at nagpapayaman sa buhay.","O poder de alcançar resultados através do esforço, enriquecendo a vida.","Çaba sayesinde sonuçlar elde edip hayatı zenginleştirme gücü.","القوة على تحقيق النتائج عبر الجهد وإغناء الحياة.","Kraften att nå resultat genom ansträngning och berika livet.","De kracht om via inspanning resultaten te behalen en het leven te verrijken.","Siła osiągania rezultatów dzięki wysiłkowi i wzbogacania życia.","Kraften til å oppnå resultater gjennom innsats og berike livet.","Az erő, hogy erőfeszítéssel eredményeket érjünk el, és gazdagítsuk az életet.","הכוח להשיג תוצאות באמצעות מאמץ ולהעשיר את החיים.","Сила получать результаты через усилия, обогащая жизнь.","Galia pasiekti rezultatų per pastangas, praturtinant gyvenimą."
"玲","澄んだ音色のように、清らかで透明な心","A heart as pure and transparent as a clear tone.","Un corazón tan puro y transparente como un tono claro.","Un cœur aussi pur et limpide qu’un son cristallin.","Ein Herz so rein und klar wie ein heller Klang.","Un cuore puro e trasparente come un suono limpido.","Pusong dalisay at malinaw na parang isang maliwanag na tunog.","Um coração tão puro e transparente quanto um tom límpido.","Bir berrak tını kadar saf ve şeffaf bir kalp.","قلب نقي وشفاف كرنّة صافية.","Ett hjärta lika rent och klart som en klar ton.","Een hart zo puur en doorzichtig als een heldere klank.","Serce tak czyste i przejrzyste jak czysty ton.","Et hjerte som er like rent og klart som en ren klang.","Olyan szív, amely tiszta és áttetsző, akár egy csengő hang.","לב טהור ושקוף כמו צליל צלול.","Сердце, такое же чистое и прозрачное, как чистый тон.","Širdis, tokia pat tyra ir skaidri kaip švarus tonas."
"海","広く深い心で、あらゆるものを受け入れる精神","A vast and profound spirit, full of embrace.","Un espíritu vasto y profundo, lleno de acogida.","Un esprit vaste et profond, plein d’accueil et d’embrassement.","Ein weiter und tiefgründiger Geist, voller umarmender Weite.","Uno spirito vasto e profondo, colmo di accoglienza.","Malawak at malalim na diwa, puno ng pagtanggap at pagyakap.","Um espírito vasto e profundo, cheio de acolhimento.","Kucaklayıcı, engin ve derin bir ruh.","روح واسعة وعميقة مليئة بالاحتواء.","En vidsträckt och djup ande, full av omfamnande värme.","Een weidse en diepe geest, vol omarming.","Rozległy i głęboki duch, pełen otwartości i objęcia.","En vid og dyp ånd, full av omsluttende varme.","Tágas és mély lélek, tele befogadással.","רוח רחבה ועמוקה, מלאה בחיבוק וקבלה.","Обширный и глубокий дух, полный объятий.","Plati ir gili dvasia, pilna apkabinimo."
"楽","喜びを奏で、人生に彩りを添える力","The power to play joy and color life richly.","El poder de transmitir alegría y llenar la vida de color.","Le pouvoir de faire résonner la joie et de colorer la vie avec richesse.","Die Kraft, Freude erklingen zu lassen und das Leben bunt zu färben.","Il potere di far risuonare la gioia e colorare riccamente la vita.","Kapangyarihang maghatid ng saya at kulayan nang sagana ang buhay.","O poder de fazer a alegria soar e colorir a vida com riqueza.","Sevinci canlandıran ve hayatı zengin renklerle süsleyen bir güç.","القوة على بث الفرح ותلوين الحياة بغنى.","Kraften att spela ut glädje och färgsätta livet rikt.","De kracht om vreugde te laten klinken och het leven rijk te kleuren.","Siła, która rozbrzmiewa radością i barwnie uszlachetnia życie.","Kraften til å la gleden spille og farge livet rikt.","Az az erő, amely megszólaltatja az örömöt, és gazdagon kiszínezi az életet.","הכוח להשמיע שמחה ולצבוע את החיים בעושר.","Сила играть радость и богато раскрашивать жизнь.","Galia groti džiaugsmą ir turtingai spalvinti gyvenimą."
"奏","音を紡ぎ、調和の世界を生み出す創造力","The creative power to weave sound and bring forth harmony.","El poder creativo de entrelazar sonidos y hacer nacer la armonía.","La puissance créatrice qui tisse le son et fait naître l’harmonie.","Die schöpferische Kraft, Klänge zu verweben und Harmonie hervorzubringen.","La forza creativa che intreccia i suoni e fa nascere l’armonia.","Malikhain na kapangyarihang naghahabi ng tunog at lumilikha ng harmoniya.","O poder criativo de entrelaçar sons e fazer surgir a harmonia.","Sesleri örerek uyum ortaya çıkaran yaratıcı bir güç.","القوة الإبداعية التي تنسج الأصوات وتُولد منها انسجامًا.","Den skapande kraft som väver ljud och låter harmoni uppstå.","De scheppende kracht die klanken verweeft en harmonie laat ontstaan.","Twórcza siła splatająca dźwięki i rodząca harmonię.","Den skapende kraften som vever lyd og lar harmoni oppstå.","Az alkotó erő, amely hangokat sző össze, és harmóniát hoz létre.","הכוח היצירתי השוזר צלילים ומוליד הרמוניה.","Творческая сила сплетать звуки и рождать гармонию.","Kūrybinė galia pinti garsą ir kurti harmoniją."
"陽","太陽のように明るく、周囲に温かさを届ける存在","A presence as bright as the sun, warming those around.","Una presencia tan brillante como el sol que brinda calor a quienes la rodean.","Une présence aussi lumineuse que le soleil, réchauffant ceux qui l’entourent.","Eine Präsenz so strahlend wie die Sonne, die die Menschen um sich wärmt.","Una presenza luminosa come il sole, che scalda chi le sta vicino.","Presensiyang kasing-liwanag ng araw, nagbibigay-init sa mga nasa paligid.","Uma presença tão brilhante quanto o sol, aquecendo quem está ao redor.","Güneş kadar parlak, çevresindekileri ısıtan bir varlık.","حضور ساطع كالشمس يدفئ من حوله.","En närvaro lika lysande som solen, som värmer dem omkring.","Een aanwezigheid zo stralend als de zon, die de mensen om zich heen verwarmt.","Obecność jasna jak słońce, która ogrzewa otoczenie.","En tilstedeværelse like lys som solen, som varmer dem rundt seg.","Olyan jelenlét, amely a naphoz hasonlóan ragyog, és felmelegíti a körülötte lévőket.","נוכחות זוהרת כמו השמש המחממת את הסובבים.","Присутствие, яркое как солнце, согревающее окружающих.","Buvimas, ryškus kaip saulė, šildantis aplinkinius."
"義","正義を重んじ、誠実に生きる心","A heart that values justice and lives with sincerity.","Un corazón que valora la justicia y vive con sinceridad.","Un cœur qui valorise la justice et vit avec sincérité.","Ein Herz, das Gerechtigkeit schätzt und aufrichtig lebt.","Un cuore che dà valore alla giustizia e vive con sincerità.","Pusong pinahahalagahan ang katarungan at namumuhay nang tapat.","Um coração que valoriza a justiça e vive com sinceridade.","Adaleti önemseyen ve içtenlikle yaşayan bir kalp.","قلب يقدّر العدالة ويعيش بصدق وإخلاص.","Ett hjärta som värdesätter rättvisa och lever med uppriktighet.","Een hart dat rechtvaardigheid waardeert en oprecht leeft.","Serce, które ceni sprawiedliwość i żyje szczerze.","Et hjerte som verdsetter rettferdighet og lever med oppriktighet.","Szív, amely nagyra értékeli az igazságot, és őszintén él.","לב המעריך צדק וחי ביושר ובכנות.","Сердце, которое ценит справедливость и живет искренне.","Širdis, vertinanti teisingumą ir gyvenanti nuoširdžiai."
"央","中心に立ち、調和を保つ力","The power to stand at the center and maintain harmony.","El poder de situarse en el centro y mantener la armonía.","Le pouvoir de se tenir au centre et de préserver l’harmonie.","Die Kraft, im Zentrum zu stehen und Harmonie zu bewahren.","Il potere di stare al centro e mantenere l’armonia.","Lakas na tumayo sa gitna at panatilihin ang pagkakaisa.","O poder de permanecer no centro e manter a harmonia.","Merkezde durup uyumu koruma gücü.","القوة على الوقوف في المركز والحفاظ على الانسجام.","Kraften att stå i centrum och bevara harmonin.","De kracht om in het midden te staan en de harmonie te bewaren.","Siła stania w centrum i zachowywania harmonii.","Kraften til å stå i sentrum og bevare harmonien.","Az erő, hogy a középpontban álljunk és megőrizzük a harmóniát.","הכוח לעמוד במרכז ולשמור על ההרמוניה.","Сила стоять в центре и поддерживать гармонию.","Galia stovėti centre ir išlaikyti harmoniją."
"舞","軽やかに舞い、喜びを表現する姿","A figure that dances lightly, expressing joy.","Una figura que baila con ligereza y expresa alegría.","Une silhouette qui danse légèrement et exprime la joie.","Eine Gestalt, die leicht tanzt und Freude ausdrückt.","Una figura che danza con leggerezza, esprimendo gioia.","Pigurang magaan sumasayaw at nagpapahayag ng kagalakan.","Uma figura que dança levemente, expressando alegria.","Hafifçe dans ederek sevinci ifade eden bir figür.","هيئة ترقص بخفة وتُعبّر عن الفرح.","En gestalt som dansar lätt och uttrycker glädje.","Een figuur die licht danst en vreugde uitdrukt.","Postać, która tańczy lekko, wyrażając radość.","En skikkelse som danser lett og uttrykker glede.","Alak, amely könnyedén táncol, és örömöt fejez ki.","דמות הרוקדת בקלילות ומבטאת שמחה.","Фигура, которая легко танцует, выражая радость.","Figūra, lengvai šokanti, išreiškianti džiaugsmą."
"雲","自由に流れ、形を変えながらも大空を彩る存在","Flowing freely, changing form, yet coloring the vast sky.","Fluyendo libremente, cambiando de forma y aun así coloreando el cielo inmenso.","S’écoulant librement, changeant de forme tout en colorant le vaste ciel.","Fließt frei, verändert seine Form und färbt doch den weiten Himmel.","Scorrendo liberamente, cambiando forma e al tempo stesso colorando il vasto cielo.","Malayang dumadaloy, nagbabago ng anyo ngunit patuloy na nagbibigay-kulay sa malawak na langit.","Fluindo livremente, mudando de forma e ainda assim colorindo o vasto céu.","Özgürce akarak biçim değiştiren, yine de engin gökyüzünü renklendiren bir varlık.","يتحرك بحرية، يغيّر شكله ومع ذلك يلوّن السماء الواسعة.","Flyter fritt, skiftar form och färgar ändå den vida himlen.","Stroomt vrij, verandert van vorm en kleurt toch de uitgestrekte hemel.","Płynąc swobodnie, zmienia kształt, a mimo to barwi rozległe niebo.","Flyter fritt, skifter form og farger likevel den vide himmelen.","Szabadon áramlik, alakot vált, mégis kiszínezi a tágas eget.","זורם בחופשיות, משנה צורה ועדיין צובע את השמים הרחבים.","Свободно текущий, меняющий форму, но раскрашивающий бескрайнее небо.","Laisvai tekantis, keičiantis formą, bet spalvinantis begalinį dangų."
